age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,7,77516,9,13,4,1,1,4,1,2174,0,40,39,0
50,6,83311,9,13,2,4,0,4,1,0,0,13,39,0
38,4,215646,11,9,0,6,1,4,1,0,0,40,39,0
53,4,234721,1,7,2,6,0,2,1,0,0,40,39,0
28,4,338409,9,13,2,10,5,2,0,0,0,40,5,0
37,4,284582,12,14,2,4,5,4,0,0,0,40,39,0
49,4,160187,6,5,3,8,1,2,0,0,0,16,23,0
52,6,209642,11,9,2,4,0,4,1,0,0,45,39,1
31,4,45781,12,14,4,10,1,4,0,14084,0,50,39,1
42,4,159449,9,13,2,4,0,4,1,5178,0,40,39,1
37,4,280464,15,10,2,4,0,2,1,0,0,80,39,1
30,7,141297,9,13,2,10,0,1,1,0,0,40,19,1
23,4,122272,9,13,4,1,3,4,0,0,0,30,39,0
32,4,205019,7,12,4,12,1,2,1,0,0,50,39,0
40,4,121772,8,11,2,3,0,1,1,0,0,40,0,1
34,4,245487,5,4,2,14,0,0,1,0,0,45,26,0
25,6,176756,11,9,4,5,3,4,1,0,0,35,39,0
32,4,186824,11,9,4,7,4,4,1,0,0,40,39,0
38,4,28887,1,7,2,12,0,4,1,0,0,50,39,0
43,6,292175,12,14,0,4,4,4,0,0,0,45,39,1
40,4,193524,10,16,2,10,0,4,1,0,0,60,39,1
54,4,302146,11,9,5,8,4,2,0,0,0,20,39,0
35,1,76845,6,5,2,5,0,2,1,0,0,40,39,0
43,4,117037,1,7,2,14,0,4,1,0,2042,40,39,0
59,4,109015,11,9,0,13,4,4,0,0,0,40,39,0
56,2,216851,9,13,2,13,0,4,1,0,0,40,39,1
19,4,168294,11,9,4,3,3,4,1,0,0,40,39,0
54,0,180211,15,10,2,0,0,1,1,0,0,60,35,1
39,4,367260,11,9,0,4,1,4,1,0,0,80,39,0
49,4,193366,11,9,2,3,0,4,1,0,0,40,39,0
23,2,190709,7,12,4,11,1,4,1,0,0,52,39,0
20,4,266015,15,10,4,12,3,2,1,0,0,44,39,0
45,4,386940,9,13,0,4,3,4,1,0,1408,40,39,0
30,1,59951,15,10,2,1,3,4,1,0,0,40,39,0
22,7,311512,15,10,2,8,0,2,1,0,0,15,39,0
48,4,242406,1,7,4,7,4,4,1,0,0,40,33,0
21,4,197200,15,10,4,7,3,4,1,0,0,40,39,0
19,4,544091,11,9,1,1,5,4,0,0,0,25,39,0
31,4,84154,15,10,2,12,0,4,1,0,0,38,0,1
48,6,265477,7,12,2,10,0,4,1,0,0,40,39,0
31,4,507875,6,5,2,7,0,4,1,0,0,43,39,0
53,6,88506,9,13,2,10,0,4,1,0,0,40,39,0
24,4,172987,9,13,2,13,0,4,1,0,0,50,39,0
49,4,94638,11,9,5,1,4,4,0,0,0,40,39,0
25,4,289980,11,9,4,6,1,4,1,0,0,35,39,0
57,1,337895,9,13,2,10,0,2,1,0,0,40,39,1
53,4,144361,11,9,2,7,0,4,1,0,0,38,39,0
44,4,128354,12,14,0,4,4,4,0,0,0,40,39,0
41,7,101603,8,11,2,3,0,4,1,0,0,40,39,0
29,4,271466,8,11,4,10,1,4,1,0,0,43,39,0
25,4,32275,15,10,2,4,5,3,0,0,0,40,39,0
18,4,226956,11,9,4,8,3,4,0,0,0,30,0,0
47,4,51835,14,15,2,10,5,4,0,0,1902,60,16,1
50,1,251585,9,13,0,4,1,4,1,0,0,55,39,1
47,5,109832,11,9,0,4,1,4,1,0,0,60,39,0
43,4,237993,15,10,2,13,0,4,1,0,0,40,39,1
46,4,216666,4,3,2,7,0,4,1,0,0,40,26,0
35,4,56352,8,11,2,8,0,4,1,0,0,40,33,0
41,4,147372,11,9,2,1,0,4,1,0,0,48,39,0
30,4,188146,11,9,2,7,0,4,1,5013,0,40,39,0
30,4,59496,9,13,2,12,0,4,1,2407,0,40,39,0
32,0,293936,5,4,3,0,1,4,1,0,0,40,0,0
48,4,149640,11,9,2,14,0,4,1,0,0,40,39,0
42,4,116632,10,16,2,10,0,4,1,0,0,45,39,1
29,4,105598,15,10,0,13,1,4,1,0,0,58,39,0
36,4,155537,11,9,2,3,0,4,1,0,0,40,39,0
28,4,183175,15,10,0,1,1,4,0,0,0,40,39,0
53,4,169846,11,9,2,1,5,4,0,0,0,40,39,1
49,5,191681,15,10,2,4,0,4,1,0,0,50,39,1
25,0,200681,15,10,4,0,3,4,1,0,0,40,39,0
19,4,101509,15,10,4,10,3,4,1,0,0,32,39,0
31,4,309974,9,13,5,12,3,2,0,0,0,40,39,0
29,6,162298,9,13,2,12,0,4,1,0,0,70,39,1
23,4,211678,15,10,4,7,1,4,1,0,0,40,39,0
79,4,124744,15,10,2,10,2,4,1,0,0,20,39,0
27,4,213921,11,9,4,8,3,4,1,0,0,40,26,0
40,4,32214,7,12,2,1,0,4,1,0,0,40,39,0
67,0,212759,0,6,2,0,0,4,1,0,0,2,39,0
18,4,309634,1,7,4,8,3,4,0,0,0,22,39,0
31,2,125927,5,4,2,5,0,4,1,0,0,40,39,0
18,4,446839,11,9,4,12,1,4,1,0,0,30,39,0
52,4,276515,9,13,2,8,0,4,1,0,0,40,5,0
46,4,51618,11,9,2,8,5,4,0,0,0,40,39,0
59,4,159937,11,9,2,12,0,4,1,0,0,48,39,0
44,4,343591,11,9,0,3,1,4,0,14344,0,40,39,1
53,4,346253,11,9,0,12,3,4,0,0,0,35,39,0
49,2,268234,11,9,2,11,0,4,1,0,0,40,39,1
33,4,202051,12,14,2,10,0,4,1,0,0,50,39,0
30,4,54334,6,5,4,12,1,4,1,0,0,40,39,0
43,1,410867,10,16,4,10,1,4,0,0,0,50,39,1
57,4,249977,8,11,2,10,0,4,1,0,0,40,39,0
37,4,286730,15,10,0,3,4,4,0,0,0,40,39,0
28,4,212563,15,10,0,7,4,2,0,0,0,25,39,0
30,4,117747,11,9,2,12,5,1,0,0,1573,35,0,0
34,2,226296,9,13,2,11,0,4,1,0,0,40,39,1
29,2,115585,15,10,4,6,1,4,1,0,0,50,39,0
48,6,191277,10,16,2,10,0,4,1,0,1902,60,39,1
37,4,202683,15,10,2,12,0,4,1,0,0,48,39,1
48,4,171095,7,12,0,4,4,4,0,0,0,40,9,0
32,1,249409,11,9,4,8,3,2,1,0,0,40,39,0
76,4,124191,12,14,2,4,0,4,1,0,0,40,39,1
44,4,198282,9,13,2,4,0,4,1,15024,0,60,39,1
47,6,149116,12,14,4,10,1,4,0,0,0,50,39,0
20,4,188300,15,10,4,13,3,4,0,0,0,40,39,0
29,4,103432,11,9,4,3,1,4,1,0,0,40,39,0
32,5,317660,11,9,2,3,0,4,1,7688,0,40,39,1
17,0,304873,0,6,4,0,3,4,0,34095,0,32,39,0
30,4,194901,1,7,4,6,3,4,1,0,0,40,39,0
31,2,189265,11,9,4,1,1,4,0,0,0,40,39,0
42,4,124692,11,9,2,6,0,4,1,0,0,40,39,0
24,4,432376,9,13,4,12,2,4,1,0,0,40,39,0
38,4,65324,14,15,2,10,0,4,1,0,0,40,39,1
56,6,335605,11,9,2,8,0,4,1,0,1887,50,2,1
28,4,377869,15,10,2,12,5,4,0,4064,0,25,39,0
36,4,102864,11,9,4,7,3,4,0,0,0,40,39,0
53,4,95647,6,5,2,6,0,4,1,0,0,50,39,0
56,5,303090,15,10,2,12,0,4,1,0,0,50,39,0
49,2,197371,8,11,2,3,0,2,1,0,0,40,39,1
55,4,247552,15,10,2,12,0,4,1,0,0,56,39,0
22,4,102632,11,9,4,3,1,4,1,0,0,41,39,0
21,4,199915,15,10,4,8,3,4,0,0,0,40,39,0
40,4,118853,9,13,2,4,0,4,1,0,0,60,39,0
30,4,77143,9,13,4,4,3,2,1,0,0,40,11,0
29,7,267989,9,13,2,10,0,4,1,0,0,50,39,1
19,4,301606,15,10,4,8,3,2,1,0,0,35,39,0
47,4,287828,9,13,2,4,5,4,0,0,0,40,39,1
20,4,111697,15,10,4,1,3,4,0,0,1719,28,39,0
31,4,114937,7,12,2,1,0,4,1,0,0,40,39,1
35,0,129305,11,9,2,0,0,4,1,0,0,40,39,0
39,4,365739,15,10,0,3,1,4,1,0,0,40,39,0
28,4,69621,7,12,4,12,1,4,0,0,0,60,39,0
24,4,43323,11,9,4,8,1,4,0,0,1762,40,39,0
38,6,120985,11,9,2,3,0,4,1,4386,0,35,39,0
37,4,254202,9,13,2,12,0,4,1,0,0,50,39,0
46,4,146195,7,12,0,13,1,2,0,0,0,36,39,0
38,1,125933,12,14,2,10,0,4,1,0,0,40,20,1
43,6,56920,11,9,2,3,0,4,1,0,0,60,39,0
27,4,163127,8,11,2,1,5,4,0,0,0,35,39,0
20,4,34310,15,10,4,12,3,4,1,0,0,20,39,0
49,4,81973,15,10,2,3,0,1,1,0,0,40,39,1
61,5,66614,11,9,2,3,0,4,1,0,0,40,39,0
27,4,232782,15,10,4,12,3,4,0,0,0,40,39,0
19,4,316868,15,10,4,8,3,4,1,0,0,30,26,0
45,4,196584,8,11,4,10,1,4,0,0,1564,40,39,1
70,4,105376,15,10,4,13,2,4,1,0,0,40,39,0
31,4,185814,11,9,4,14,4,2,0,0,0,30,39,0
22,4,175374,15,10,2,8,0,4,1,0,0,24,39,0
36,4,108293,11,9,6,8,4,4,0,0,0,24,39,0
64,4,181232,1,7,2,3,0,4,1,0,2179,40,39,0
43,0,174662,15,10,0,0,1,4,0,0,0,40,39,0
47,2,186009,15,10,0,1,4,4,0,0,0,38,26,0
34,4,198183,11,9,4,1,1,4,0,0,0,40,39,0
33,4,163003,9,13,4,4,2,1,0,0,0,40,30,0
21,4,296158,11,9,4,3,3,4,1,0,0,35,39,0
52,0,252903,11,9,0,0,1,4,1,0,0,45,39,1
48,4,187715,11,9,2,3,0,4,1,0,0,46,39,0
23,4,214542,9,13,4,6,1,4,1,0,0,40,39,0
71,6,494223,15,10,5,12,4,2,1,0,1816,2,39,0
29,4,191535,11,9,0,3,1,4,1,0,0,60,39,0
42,4,228456,9,13,5,8,2,2,1,0,0,50,39,0
68,0,38317,3,2,0,0,1,4,0,0,0,20,39,0
25,4,252752,11,9,4,8,4,4,0,0,0,40,39,0
44,5,78374,12,14,0,4,4,1,0,0,0,40,39,0
28,4,88419,11,9,4,4,1,1,0,0,0,40,9,0
45,6,201080,12,14,2,12,0,4,1,0,0,40,39,1
36,4,207157,15,10,0,8,4,4,0,0,0,40,26,0
39,1,235485,7,12,4,4,1,4,1,0,0,42,39,0
46,7,102628,12,14,6,11,4,4,1,0,0,40,39,0
18,4,25828,1,7,4,6,3,4,1,0,0,16,39,0
