cluster,lsat,ugpa,zfygpa,zgpa,bar1,fulltime,fam_inc,age,gender,race1,race2,race3,race4,race5,race6,race7,race8
4.0,32.5,3.2,-0.76,-0.56,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
5.0,41.0,3.9,1.08,0.88,1,1.0,3.0,-57.0,1,0,0,0,0,0,0,1,0
3.0,36.0,2.9,-0.53,-1.05,0,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
1.0,36.0,3.1,-0.67,-0.9,1,1.0,3.0,-61.0,1,0,0,0,1,0,0,0,0
1.0,34.0,2.5,-1.14,-0.93,0,1.0,4.0,-60.0,0,0,1,0,0,0,0,0,0
5.0,41.0,3.2,-0.16,-0.19,0,1.0,5.0,-59.0,0,0,0,0,0,0,0,1,0
3.0,36.0,3.3,0.45,0.23,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,41.0,3.4,-0.38,-0.83,0,1.0,3.0,-58.0,1,0,0,0,0,0,0,1,0
2.0,35.0,3.3,0.91,1.26,1,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
1.0,37.0,3.2,-0.65,-0.59,1,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
5.0,42.0,3.8,0.35,0.35,1,1.0,4.0,-55.0,1,0,0,0,0,0,0,1,0
3.0,36.0,3.6,0.45,0.44,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,44.0,3.7,-1.26,-1.42,1,1.0,3.0,-60.0,0,0,0,0,0,0,0,1,0
3.0,37.0,3.7,1.08,0.98,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
3.0,34.0,3.5,-0.2,-0.57,1,1.0,4.0,-63.0,1,0,0,0,0,0,0,1,0
3.0,42.0,3.3,-1.59,-0.82,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,26.0,2.6,1.28,-0.85,0,2.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
1.0,38.0,3.6,0.22,0.18,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
5.0,30.0,2.9,-0.86,-1.43,0,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
2.0,45.0,3.1,2.23,2.14,0,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
3.0,40.0,2.6,-0.44,-1.36,0,1.0,4.0,-60.0,1,0,0,0,0,0,0,1,0
3.0,42.0,3.9,0.61,0.47,1,1.0,3.0,-55.0,1,0,0,0,0,0,0,1,0
3.0,38.0,2.2,-0.94,-0.91,1,1.0,4.0,-57.0,0,0,0,0,0,0,0,1,0
3.0,37.0,2.5,-0.77,-1.55,0,1.0,5.0,-61.0,0,0,0,0,0,0,0,1,0
5.0,45.0,3.6,0.25,0.19,1,1.0,4.0,-65.0,1,0,0,0,0,0,0,1,0
1.0,39.0,3.5,-0.81,-0.07,1,1.0,3.0,-49.0,0,0,0,0,0,0,0,1,0
3.0,31.0,3.0,-1.46,-1.34,0,2.0,2.0,-42.0,0,0,0,0,0,1,0,0,0
3.0,34.0,3.0,-0.5,-1.41,0,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,41.0,3.8,1.6,1.49,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
4.0,43.0,3.6,-0.99,-0.1,1,1.0,4.0,-60.0,1,0,0,0,0,0,0,1,0
3.0,27.0,2.3,-1.26,-1.27,1,1.0,3.0,-55.0,0,0,0,0,1,0,0,0,0
1.0,39.0,3.4,1.0,0.19,0,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
3.0,32.0,3.2,-1.48,-1.65,0,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,30.0,3.2,-1.38,-1.32,0,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
3.0,38.0,2.9,-1.51,-0.31,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
4.0,31.0,2.6,-1.26,-1.87,0,1.0,5.0,-59.0,0,0,1,0,0,0,0,0,0
3.0,33.0,2.5,-0.32,-1.27,1,1.0,4.0,-58.0,0,0,0,0,0,0,0,1,0
4.0,41.0,3.0,0.49,0.38,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
3.0,40.0,3.7,-0.75,-0.73,0,1.0,3.0,-59.0,1,0,0,0,0,0,0,1,0
3.0,34.0,2.7,-1.71,-1.54,0,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
4.0,25.0,3.3,-0.09,-0.24,0,1.0,2.0,-61.0,1,0,0,1,0,0,0,0,0
5.0,44.0,3.8,0.78,1.4,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,35.5,3.6,-0.09,0.38,1,1.0,2.0,-53.0,0,0,0,0,0,0,0,1,0
4.0,38.0,3.0,-1.23,-0.86,1,1.0,5.0,-61.0,0,0,0,0,0,0,0,1,0
4.0,48.0,3.8,0.86,0.99,1,1.0,2.0,-56.0,1,0,0,0,0,0,0,1,0
3.0,37.0,3.6,1.45,1.39,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,35.0,3.5,0.26,0.26,1,1.0,4.0,-58.0,0,0,0,0,0,0,0,1,0
3.0,37.0,3.1,1.33,0.65,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,42.0,3.2,0.58,0.74,1,1.0,4.0,-59.0,0,0,0,0,0,0,0,1,0
3.0,37.0,3.8,-0.88,-2.11,0,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
1.0,23.5,2.3,-1.38,-1.77,1,1.0,1.0,-56.0,0,0,0,0,1,0,0,0,0
1.0,40.0,3.6,-0.01,-0.02,1,1.0,4.0,-61.0,1,0,0,0,0,0,1,0,0
4.0,37.5,3.0,-0.54,-0.51,1,2.0,4.0,-58.0,0,0,0,0,0,0,0,1,0
3.0,27.0,3.3,1.25,0.41,1,1.0,2.0,-61.0,1,0,0,1,0,0,0,0,0
1.0,24.0,2.6,-1.6,-1.77,0,1.0,3.0,-61.0,1,0,0,1,0,0,0,0,0
3.0,26.0,2.3,-2.05,-1.39,0,2.0,3.0,-56.0,0,0,0,1,0,0,0,0,0
1.0,40.0,3.4,-0.49,-0.57,0,1.0,3.0,-53.0,0,0,0,0,0,0,0,1,0
1.0,39.0,3.5,1.84,1.89,1,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
4.0,36.5,3.4,-0.8,-0.87,0,1.0,2.0,-58.0,1,0,0,0,0,0,0,1,0
3.0,37.0,2.2,-0.47,-0.9,0,2.0,5.0,-52.0,0,0,0,0,0,0,0,1,0
1.0,32.0,3.3,0.28,0.0,1,1.0,2.0,-55.0,1,0,0,0,0,0,0,1,0
3.0,19.0,3.2,-0.7,-0.45,0,1.0,3.0,-62.0,1,0,0,1,0,0,0,0,0
3.0,31.5,3.0,-0.44,-0.17,1,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
3.0,38.0,2.8,-1.26,-1.86,1,1.0,2.0,-60.0,0,0,1,0,0,0,0,0,0
2.0,27.5,3.1,-0.02,-0.77,0,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
3.0,44.0,3.1,-0.79,-1.34,1,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
1.0,32.0,2.4,-0.53,-0.7,0,1.0,1.0,-56.0,0,0,0,1,0,0,0,0,0
1.0,29.0,2.8,-1.32,-2.31,0,1.0,2.0,-64.0,0,0,0,0,0,1,0,0,0
3.0,36.0,3.3,0.14,0.53,1,2.0,3.0,-57.0,0,0,0,0,0,0,0,1,0
3.0,30.0,3.0,-0.09,-0.61,0,1.0,3.0,-61.0,0,0,0,0,0,0,0,1,0
3.0,34.0,3.4,0.8,0.81,1,1.0,4.0,-56.0,1,0,0,0,0,0,0,1,0
1.0,40.0,3.2,-0.78,-1.25,1,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
1.0,35.0,3.7,-0.37,-0.27,1,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
4.0,42.5,3.6,0.94,0.84,1,1.0,5.0,-60.0,1,0,0,0,0,0,0,1,0
4.0,36.0,2.8,-1.05,-1.47,0,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
1.0,33.0,3.1,-0.81,-1.55,0,1.0,3.0,-62.0,1,0,0,0,0,0,1,0,0
3.0,39.0,3.4,-0.05,-0.35,0,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
1.0,39.0,3.8,0.38,-0.06,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
4.0,42.0,3.9,-0.18,-0.08,1,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
4.0,31.0,3.0,-1.66,-0.95,0,1.0,3.0,-57.0,1,0,0,0,0,0,0,1,0
2.0,33.0,2.9,1.21,2.3,1,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
4.0,38.0,3.3,0.74,0.45,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
2.0,39.0,3.7,1.4,1.85,1,1.0,1.0,-59.0,0,0,0,0,0,0,0,1,0
1.0,42.0,3.4,-0.4,0.21,1,1.0,2.0,-59.0,1,0,0,0,0,0,0,1,0
3.0,32.0,3.0,0.56,1.89,1,2.0,3.0,-52.0,1,0,0,0,0,0,0,1,0
5.0,26.0,3.2,-2.22,-2.14,0,1.0,4.0,-61.0,1,0,0,1,0,0,0,0,0
1.0,37.0,3.6,0.5,0.18,0,1.0,3.0,-59.0,0,0,0,0,0,0,0,1,0
3.0,36.0,3.2,2.0,2.31,1,1.0,4.0,-50.0,1,0,0,0,0,0,0,1,0
1.0,38.5,3.6,1.2,1.23,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
2.0,30.0,3.2,-1.13,-1.27,0,1.0,3.0,-48.0,1,0,0,0,0,0,0,1,0
3.0,30.0,3.1,0.75,0.8,1,1.0,5.0,-66.0,0,0,0,0,0,0,0,1,0
3.0,39.0,3.1,1.44,0.84,1,2.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
6.0,30.0,2.7,1.14,0.29,1,1.0,2.0,-57.0,0,0,0,1,0,0,0,0,0
2.0,34.0,3.0,-0.55,0.43,1,2.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
4.0,42.0,2.9,1.31,-0.17,1,1.0,4.0,-59.0,0,0,1,0,0,0,0,0,0
3.0,33.0,3.2,0.6,0.17,1,2.0,2.0,-45.0,0,0,0,0,0,0,0,1,0
3.0,24.0,3.0,-1.04,-0.78,0,1.0,3.0,-55.0,0,0,0,0,0,0,0,1,0
5.0,46.0,3.1,2.03,0.98,1,1.0,3.0,-56.0,0,0,0,0,0,0,0,1,0
2.0,31.5,2.6,-0.96,-1.49,0,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
4.0,33.0,3.8,0.77,0.99,1,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
3.0,45.0,3.5,0.15,0.95,0,1.0,2.0,-49.0,0,0,0,0,0,0,0,1,0
3.0,31.0,3.6,1.27,1.05,1,1.0,4.0,-54.0,1,0,0,0,0,0,0,1,0
1.0,38.0,3.0,0.12,0.07,1,1.0,3.0,-49.0,1,0,0,0,0,0,0,1,0
1.0,44.0,3.8,0.21,0.35,1,1.0,4.0,-63.0,0,0,0,0,0,0,0,1,0
3.0,33.0,3.1,-0.45,-0.76,1,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
3.0,36.0,3.6,-0.89,-0.29,1,1.0,2.0,-47.0,0,0,0,0,0,0,0,1,0
3.0,35.0,3.3,-1.06,-0.77,0,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
4.0,32.3,3.2,-1.51,-1.51,0,1.0,4.0,-65.0,1,0,0,0,0,0,0,1,0
3.0,33.0,3.1,-1.42,-1.03,0,1.0,3.0,-60.0,0,0,0,0,0,0,0,1,0
